NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
k a n s a l l i s t a m i n e n,k a n s a l l i s t a m i s e n,no,_,_,_
h y v ä k s i k ä y t t ä j ä,h y v ä k s i k ä y t t ä j ä n,no,_,_,_
k u i t t i,k u i t i n,yes,quantitative,t,direct
s i t k e y s,s i t k e y d e n,no,_,_,_
v a r j o,v a r j o n,no,_,_,_
s ä ä d ö s,s ä ä d ö k s e n,no,_,_,_
l o m a i l u,l o m a i l u n,no,_,_,_
p e l l i l l i n e n,p e l l i l l i s e n,no,_,_,_
s p e s i f i s y y s,s p e s i f i s y y d e n,no,_,_,_
s u u r u s t e,s u u r u s t e e n,no,_,_,_
h i i l i,h i i l e n,no,_,_,_
s e i n ä,s e i n ä n,no,_,_,_
m i e t i n t ö,m i e t i n n ö n,yes,qualitative,t,direct
r a j o i t t a m i n e n,r a j o i t t a m i s e n,no,_,_,_
v e r t a i l u,v e r t a i l u n,no,_,_,_
k i k a t u s,k i k a t u k s e n,no,_,_,_
p o p,p o p i n,no,_,_,_
p o r s a s,p o r s a a n,no,_,_,_
s e i n ä m ä,s e i n ä m ä n,no,_,_,_
h i p p o k a m p u s,h i p p o k a m p u k s e n,no,_,_,_
k o o d a a m i n e n,k o o d a a m i s e n,no,_,_,_
k i r j o i t t a j a,k i r j o i t t a j a n,no,_,_,_
n i m i,n i m e n,no,_,_,_
k u i s k a a m i n e n,k u i s k a a m i s e n,no,_,_,_
k e r r o t t a v a,k e r r o t t a v a n,no,_,_,_
l o g i s t i i k k a,l o g i s t i i k a n,yes,quantitative,k,direct
v a s t i n e,v a s t i n e e n,no,_,_,_
t i l a s t o i n t i,t i l a s t o i n n i n,yes,qualitative,t,direct
k i r j a s t o,k i r j a s t o n,no,_,_,_
t y p p i,t y p e n,yes,qualitative,p,direct
k o s k i,k o s k e n,no,_,_,_
t o i m i v u u s,t o i m i v u u d e n,no,_,_,_
p u u h a,p u u h a n,no,_,_,_
s a l m o n e l l a,s a l m o n e l l a n,no,_,_,_
s a r v i,s a r v e n,no,_,_,_
k o u l u,k o u l u n,no,_,_,_
p u t k a,p u t k a n,no,_,_,_
k e r ä ä m i n e n,k e r ä ä m i s e n,no,_,_,_
s a p i e n s,s a p i e n s i n,no,_,_,_
t e s t a u s,t e s t a u k s e n,no,_,_,_
d i v a r i,d i v a r i n,no,_,_,_
f r a a s i,f r a a s i n,no,_,_,_
y h d i s t ä m i n e n,y h d i s t ä m i s e n,no,_,_,_
a r g u m e n t t i,a r g u m e n t i n,yes,quantitative,t,direct
j u l i s t e,j u l i s t e e n,no,_,_,_
t e k s t i i l i,t e k s t i i l i n,no,_,_,_
l ä k s y,l ä k s y n,no,_,_,_
l o m p a k k o,l o m p a k o n,yes,quantitative,k,direct
h a v a i n t o,h a v a i n n o n,yes,qualitative,t,direct
m a n i a,m a n i a n,no,_,_,_
t a e,t a k e e n,yes,qualitative,k,inverse
t i i m e l l y s,t i i m e l l y k s e n,no,_,_,_
s i j o i t t u m i n e n,s i j o i t t u m i s e n,no,_,_,_
k i t e i s y y s,k i t e i s y y d e n,no,_,_,_
v e i k k a u s,v e i k k a u k s e n,no,_,_,_
k ä y t e t t ä v y y s,k ä y t e t t ä v y y d e n,no,_,_,_
a l u s t a,a l u s t a n,no,_,_,_
s ä ä r i,s ä ä r e n,no,_,_,_
t y ö l l i s t ä m i n e n,t y ö l l i s t ä m i s e n,no,_,_,_
l a s t e n v a l v o j a,l a s t e n v a l v o j a n,no,_,_,_
s t r a t e g i a,s t r a t e g i a n,no,_,_,_
s a a m a t t o m u u s,s a a m a t t o m u u d e n,no,_,_,_
p i h v i,p i h v i n,no,_,_,_
p i t ä j ä,p i t ä j ä n,no,_,_,_
m ö r k ö,m ö r ö n,yes,qualitative,k,direct
k ä t k ö,k ä t k ö n,no,_,_,_
v o i t t a j a,v o i t t a j a n,no,_,_,_
t a m p e r e l a i n e n,t a m p e r e l a i s e n,no,_,_,_
m a r t t y y r i,m a r t t y y r i n,no,_,_,_
p a i t a,p a i d a n,yes,qualitative,t,direct
l i n n u s t o,l i n n u s t o n,no,_,_,_
m a l m i,m a l m i n,no,_,_,_
d i k t a a t t o r i,d i k t a a t t o r i n,no,_,_,_
d e b y y t t i,d e b y y t i n,yes,quantitative,t,direct
b i i t s i,b i i t s i n,no,_,_,_
l a a j e n n u s,l a a j e n n u k s e n,no,_,_,_
l ä t t y,l ä t y n,yes,quantitative,t,direct
t a h t i,t a h d i n,yes,qualitative,t,direct
k ö y s i,k ö y d e n,no,_,_,_
p i m e y s,p i m e y d e n,no,_,_,_
j ä r j e s t ä j ä,j ä r j e s t ä j ä n,no,_,_,_
v e t ä m i n e n,v e t ä m i s e n,no,_,_,_
j e s a r i,j e s a r i n,no,_,_,_
s a k s a l a i n e n,s a k s a l a i s e n,no,_,_,_
t o i m i j a,t o i m i j a n,no,_,_,_
a i h e e l l i s u u s,a i h e e l l i s u u d e n,no,_,_,_
k a t u,k a d u n,yes,qualitative,t,direct
o l k i,o l j e n,yes,qualitative,k,direct
k o r k e u s,k o r k e u d e n,no,_,_,_
k o k o a m i n e n,k o k o a m i s e n,no,_,_,_
h e i k k e n e m i n e n,h e i k k e n e m i s e n,no,_,_,_
s u r f f a i l u,s u r f f a i l u n,no,_,_,_
m u t k a,m u t k a n,no,_,_,_
p a r a d o k s i,p a r a d o k s i n,no,_,_,_
p u o l u s t a j a,p u o l u s t a j a n,no,_,_,_
r y t m i t y s,r y t m i t y k s e n,no,_,_,_
k o n e,k o n e e n,no,_,_,_
e h k ä i s e m i n e n,e h k ä i s e m i s e n,no,_,_,_
j u r r i,j u r r i n,no,_,_,_
g r a f i i k k a,g r a f i i k a n,yes,quantitative,k,direct
l o i k k a,l o i k a n,yes,quantitative,k,direct
k ä y t t ä v ä,k ä y t t ä v ä n,no,_,_,_
k a s v u,k a s v u n,no,_,_,_
t a s a n n e,t a s a n t e e n,yes,qualitative,t,inverse
v a r t t i,v a r t i n,yes,quantitative,t,direct
i h m e t t e l y,i h m e t t e l y n,no,_,_,_
j a p a n i l a i n e n,j a p a n i l a i s e n,no,_,_,_
k ä y t t ä m i n e n,k ä y t t ä m i s e n,no,_,_,_
k a r a k a l p a k k i,k a r a k a l p a k i n,yes,quantitative,k,direct
k o m p o s t i,k o m p o s t i n,no,_,_,_
p u r k a u s,p u r k a u k s e n,no,_,_,_
k a n n e,k a n t e e n,yes,qualitative,t,inverse
t a l l i,t a l l i n,no,_,_,_
l e p a k k o,l e p a k o n,yes,quantitative,k,direct
j a k s o,j a k s o n,no,_,_,_
s e l v i t t ä m i n e n,s e l v i t t ä m i s e n,no,_,_,_
v a n h u s,v a n h u k s e n,no,_,_,_
s i j o i t u s,s i j o i t u k s e n,no,_,_,_
k e r t y m i n e n,k e r t y m i s e n,no,_,_,_
p u o l u s t u s,p u o l u s t u k s e n,no,_,_,_
j u j u,j u j u n,no,_,_,_
r a k e n t a m i n e n,r a k e n t a m i s e n,no,_,_,_
k ä ä n t y m i n e n,k ä ä n t y m i s e n,no,_,_,_
k i i t o l l i s u u s,k i i t o l l i s u u d e n,no,_,_,_
k a t t a m i n e n,k a t t a m i s e n,no,_,_,_
p y ö r ä i l y,p y ö r ä i l y n,no,_,_,_
s i s u s t a j a,s i s u s t a j a n,no,_,_,_
h ä r k ä,h ä r ä n,yes,qualitative,k,direct
j ä ä t y m i n e n,j ä ä t y m i s e n,no,_,_,_
t i h e i k k ö,t i h e i k ö n,yes,quantitative,k,direct
j ä ä t e l ö,j ä ä t e l ö n,no,_,_,_
k a n t a,k a n n a n,yes,qualitative,t,direct
m a a i l m a,m a a i l m a n,no,_,_,_
s p e l t t i,s p e l t i n,yes,quantitative,t,direct
m u i s t o,m u i s t o n,no,_,_,_
k u o l i n p ä i v ä,k u o l i n p ä i v ä n,no,_,_,_
a a t e l i s t o,a a t e l i s t o n,no,_,_,_
l o m i t t a j a,l o m i t t a j a n,no,_,_,_
e s i t y s,e s i t y k s e n,no,_,_,_
ä i p p ä,ä i p ä n,yes,quantitative,p,direct
k o s m o l o g i a,k o s m o l o g i a n,no,_,_,_
p e r i n n e,p e r i n t e e n,yes,qualitative,t,inverse
k o r i s t e l u,k o r i s t e l u n,no,_,_,_
p e r j a n t a i,p e r j a n t a i n,no,_,_,_
h o l l a n t i l a i n e n,h o l l a n t i l a i s e n,no,_,_,_
k a a p u,k a a v u n,yes,qualitative,p,direct
l y s e o,l y s e o n,no,_,_,_
h e i l a h t e l u,h e i l a h t e l u n,no,_,_,_
k a r h u,k a r h u n,no,_,_,_
t e l t t a,t e l t a n,yes,quantitative,t,direct
v a a h t o,v a a h d o n,yes,qualitative,t,direct
l a u k k u,l a u k u n,yes,quantitative,k,direct
a n a l y y t i k k o,a n a l y y t i k o n,yes,quantitative,k,direct
s i v e l l i n,s i v e l t i m e n,yes,qualitative,t,inverse
p a l a n e n,p a l a s e n,no,_,_,_
e h d o t u s,e h d o t u k s e n,no,_,_,_
g o r i l l a,g o r i l l a n,no,_,_,_
o p t o e r o t i n,o p t o e r o t t i m e n,yes,quantitative,t,inverse
h a u k k a,h a u k a n,yes,quantitative,k,direct
l i h a s,l i h a k s e n,no,_,_,_
d i a g n o s t i i k k a,d i a g n o s t i i k a n,yes,quantitative,k,direct
s ä ä t ä j ä,s ä ä t ä j ä n,no,_,_,_
m e s t a r i,m e s t a r i n,no,_,_,_
e s i n e i s t ö,e s i n e i s t ö n,no,_,_,_
k a i v o s,k a i v o k s e n,no,_,_,_
p e r h e,p e r h e e n,no,_,_,_
v a e l l u s,v a e l l u k s e n,no,_,_,_
j u o m i n e n,j u o m i s e n,no,_,_,_
y s t ä v y y s,y s t ä v y y d e n,no,_,_,_
s i i r t o l a i s u u s,s i i r t o l a i s u u d e n,no,_,_,_
m o n i p u o l i s u u s,m o n i p u o l i s u u d e n,no,_,_,_
l ä h i m m ä i n e n,l ä h i m m ä i s e n,no,_,_,_
v e l k o j a,v e l k o j a n,no,_,_,_
r i k o s,r i k o k s e n,no,_,_,_
v a h v u u s,v a h v u u d e n,no,_,_,_
h ö p i n ä,h ö p i n ä n,no,_,_,_
t u n t o,t u n n o n,yes,qualitative,t,direct
r u s a h d u s,r u s a h d u k s e n,no,_,_,_
h e r t t u a,h e r t t u a n,no,_,_,_
p u h e,p u h e e n,no,_,_,_
t ä y t t ä m i n e n,t ä y t t ä m i s e n,no,_,_,_
t a l l e t t a j a,t a l l e t t a j a n,no,_,_,_
j ä r k y t y s,j ä r k y t y k s e n,no,_,_,_
u s k a l i k k o,u s k a l i k o n,yes,quantitative,k,direct
a r e s t i,a r e s t i n,no,_,_,_
m e n e k k i,m e n e k i n,yes,quantitative,k,direct
p e r s o o n a,p e r s o o n a n,no,_,_,_
v a l m i s t a u t u m i n e n,v a l m i s t a u t u m i s e n,no,_,_,_
k a r t t a,k a r t a n,yes,quantitative,t,direct
k a u h e u s,k a u h e u d e n,no,_,_,_
p u o l e s t a p u h u j a,p u o l e s t a p u h u j a n,no,_,_,_
p a k o t e,p a k o t t e e n,yes,quantitative,t,inverse
l e h d i s t ö,l e h d i s t ö n,no,_,_,_
h a a v e i l u,h a a v e i l u n,no,_,_,_
j u o t a v a,j u o t a v a n,no,_,_,_
s i s u,s i s u n,no,_,_,_
m a i h a r i,m a i h a r i n,no,_,_,_
s e i s a k e,s e i s a k k e e n,yes,quantitative,k,inverse
p u u h a s t e l u,p u u h a s t e l u n,no,_,_,_
i s i,i s i n,no,_,_,_
h u u t o,h u u d o n,yes,qualitative,t,direct
s l u m m i,s l u m m i n,no,_,_,_
v a l o t u s,v a l o t u k s e n,no,_,_,_
p u l s s i,p u l s s i n,no,_,_,_
d o k u m e n t t i,d o k u m e n t i n,yes,quantitative,t,direct
l i t r a,l i t r a n,no,_,_,_
l a n t i o,l a n t i o n,no,_,_,_
s i i v o o j a,s i i v o o j a n,no,_,_,_
s a a v i,s a a v i n,no,_,_,_
t u u r i,t u u r i n,no,_,_,_
s k o t t i,s k o t i n,yes,quantitative,t,direct
t o f u,t o f u n,no,_,_,_
k u m m a s t u s,k u m m a s t u k s e n,no,_,_,_
t u o t e,t u o t t e e n,yes,quantitative,t,inverse
r a n t a,r a n n a n,yes,qualitative,t,direct
h e d e l m ö i t t y m i n e n,h e d e l m ö i t t y m i s e n,no,_,_,_
n a u r u,n a u r u n,no,_,_,_
h y l j e,h y l k e e n,yes,qualitative,k,inverse
n o s t e,n o s t e e n,no,_,_,_
v i i k s i,v i i k s e n,no,_,_,_
v ä i t t ä m ä,v ä i t t ä m ä n,no,_,_,_
p a t e n t o i t a v u u s,p a t e n t o i t a v u u d e n,no,_,_,_
a k s e l i,a k s e l i n,no,_,_,_
s u k k u l a,s u k k u l a n,no,_,_,_
p a i k a n t a m i n e n,p a i k a n t a m i s e n,no,_,_,_
t u l o,t u l o n,no,_,_,_
p i s t o,p i s t o n,no,_,_,_
l a a t i k k o,l a a t i k o n,yes,quantitative,k,direct
r a h k a,r a h k a n,no,_,_,_
k r i s t i t t y,k r i s t i t y n,yes,quantitative,t,direct
a n t u r i,a n t u r i n,no,_,_,_
s u o s i m i n e n,s u o s i m i s e n,no,_,_,_
s e k t o r i,s e k t o r i n,no,_,_,_
v i i p a l e,v i i p a l e e n,no,_,_,_
k ä v e l y,k ä v e l y n,no,_,_,_
e l ä m ä,e l ä m ä n,no,_,_,_
a p l o d i,a p l o d i n,no,_,_,_
k a l i b r o i n t i,k a l i b r o i n n i n,yes,qualitative,t,direct
r i m a,r i m a n,no,_,_,_
v ä l i,v ä l i n,no,_,_,_
r u u s u,r u u s u n,no,_,_,_
v a l o k u v a a j a,v a l o k u v a a j a n,no,_,_,_
e n n e,e n t e e n,yes,qualitative,t,inverse
e m i n e n s s i,e m i n e n s s i n,no,_,_,_
k o n j u g a a t i o,k o n j u g a a t i o n,no,_,_,_
j ä t ö s,j ä t ö k s e n,no,_,_,_
p a r t i s a a n i,p a r t i s a a n i n,no,_,_,_
p ä ä h i n e,p ä ä h i n e e n,no,_,_,_
p i i r r e,p i i r t e e n,yes,qualitative,t,inverse
l i i k k u m a v a r a,l i i k k u m a v a r a n,no,_,_,_
k o o r d i n a a t t o r i,k o o r d i n a a t t o r i n,no,_,_,_
j u l k i s t a m i n e n,j u l k i s t a m i s e n,no,_,_,_
p l e k s i l a s i,p l e k s i l a s i n,no,_,_,_
v o i t t a m i n e n,v o i t t a m i s e n,no,_,_,_
k ä y t t ö ö n o t t o,k ä y t t ö ö n o t o n,yes,quantitative,t,direct
t a p a u s,t a p a u k s e n,no,_,_,_
p u h k e a m i n e n,p u h k e a m i s e n,no,_,_,_
m a a h i n e n,m a a h i s e n,no,_,_,_
m a r k k i n o i n t i,m a r k k i n o i n n i n,yes,qualitative,t,direct
k i e v a r i,k i e v a r i n,no,_,_,_
s e k s u a a l i e l ä m ä,s e k s u a a l i e l ä m ä n,no,_,_,_
k e h u m i n e n,k e h u m i s e n,no,_,_,_
t u l l i,t u l l i n,no,_,_,_
r u h o,r u h o n,no,_,_,_
v i i n a,v i i n a n,no,_,_,_
y k k ö n e n,y k k ö s e n,no,_,_,_
m e l l a k o i t s i j a,m e l l a k o i t s i j a n,no,_,_,_
p o h j a,p o h j a n,no,_,_,_
h i i r i,h i i r e n,no,_,_,_
l i n k k i,l i n k i n,yes,quantitative,k,direct
s a t u,s a d u n,yes,qualitative,t,direct
m a s k u l i i n i,m a s k u l i i n i n,no,_,_,_
l o h i,l o h e n,no,_,_,_
r e s e p t i,r e s e p t i n,no,_,_,_
p i s a r a,p i s a r a n,no,_,_,_
k o h t a u s,k o h t a u k s e n,no,_,_,_
m u s t e l m a,m u s t e l m a n,no,_,_,_
l u u r i,l u u r i n,no,_,_,_
o r a n k i,o r a n g i n,yes,qualitative,k,direct
t o r a i l u,t o r a i l u n,no,_,_,_
s a n o n t a,s a n o n n a n,yes,qualitative,t,direct
r a h o i t u s,r a h o i t u k s e n,no,_,_,_
l e v i t y s,l e v i t y k s e n,no,_,_,_
k i i n t y m y s,k i i n t y m y k s e n,no,_,_,_
t o k k a,t o k a n,yes,quantitative,k,direct
r o u h e,r o u h e e n,no,_,_,_
n e u l a n e n,n e u l a s e n,no,_,_,_
k a s v i s,k a s v i k s e n,no,_,_,_
l a s k e u t u m i n e n,l a s k e u t u m i s e n,no,_,_,_
y h t e i s ö l l i s y y s,y h t e i s ö l l i s y y d e n,no,_,_,_
a i k u i n e n,a i k u i s e n,no,_,_,_
o l i j a,o l i j a n,no,_,_,_
r e t k u e,r e t k u e e n,no,_,_,_
t o i s s a p ä i v ä,t o i s s a p ä i v ä n,no,_,_,_
o n n e t t o m u u s,o n n e t t o m u u d e n,no,_,_,_
h a a s t a j a,h a a s t a j a n,no,_,_,_
j u h l i n t a,j u h l i n n a n,yes,qualitative,t,direct
e l ä i m i s t ö,e l ä i m i s t ö n,no,_,_,_
m e r k i t y s,m e r k i t y k s e n,no,_,_,_
k a p i t a l i s m i,k a p i t a l i s m i n,no,_,_,_
k u o l e t u s,k u o l e t u k s e n,no,_,_,_
j ä r j e s t ä y t y m i n e n,j ä r j e s t ä y t y m i s e n,no,_,_,_
a v a a m i n e n,a v a a m i s e n,no,_,_,_
p y y h e,p y y h k e e n,yes,qualitative,k,inverse
t u n t u r i,t u n t u r i n,no,_,_,_
a r k i s t o,a r k i s t o n,no,_,_,_
t i e t e i l i j ä,t i e t e i l i j ä n,no,_,_,_
k a s v a t t i,k a s v a t i n,yes,quantitative,t,direct
s h o w r o o m,s h o w r o o m i n,no,_,_,_
k a r p a l o,k a r p a l o n,no,_,_,_
k i i n n o s t u s,k i i n n o s t u k s e n,no,_,_,_
h i i h t ä j ä,h i i h t ä j ä n,no,_,_,_
t r a u m a,t r a u m a n,no,_,_,_
y l e i s ö,y l e i s ö n,no,_,_,_
p u f f a u s,p u f f a u k s e n,no,_,_,_
k u l h o,k u l h o n,no,_,_,_
i l m a s t o i n t i,i l m a s t o i n n i n,yes,qualitative,t,direct
u o m a,u o m a n,no,_,_,_
v e r k o s t o i t u m i n e n,v e r k o s t o i t u m i s e n,no,_,_,_
l e l u,l e l u n,no,_,_,_
e t ä i s y y s,e t ä i s y y d e n,no,_,_,_
k u u l i a i s u u s,k u u l i a i s u u d e n,no,_,_,_
s i i r t ä m i n e n,s i i r t ä m i s e n,no,_,_,_
a b i t u r i e n t t i,a b i t u r i e n t i n,yes,quantitative,t,direct
k a u h u,k a u h u n,no,_,_,_
p e r s i a,p e r s i a n,no,_,_,_
r u o t o,r u o d o n,yes,qualitative,t,direct
e r i l a i s u u s,e r i l a i s u u d e n,no,_,_,_
k a t s e l u,k a t s e l u n,no,_,_,_
k a t e d r a a l i,k a t e d r a a l i n,no,_,_,_
s y ö m ä t t ö m y y s,s y ö m ä t t ö m y y d e n,no,_,_,_
d i v i s i o o n a,d i v i s i o o n a n,no,_,_,_
k y t k i n,k y t k i m e n,no,_,_,_
m a l l i s t o,m a l l i s t o n,no,_,_,_
a d d i k t i,a d d i k t i n,no,_,_,_
p a t t e r i,p a t t e r i n,no,_,_,_
u h r i,u h r i n,no,_,_,_
s i s a r,s i s a r e n,no,_,_,_
n o n p a r e l l i,n o n p a r e l l i n,no,_,_,_
k a b o t a a s i,k a b o t a a s i n,no,_,_,_
j a t k a j a,j a t k a j a n,no,_,_,_
a l u s,a l u k s e n,no,_,_,_
a m a n u e n s s i,a m a n u e n s s i n,no,_,_,_
a u t o,a u t o n,no,_,_,_
s o p e u t u m i n e n,s o p e u t u m i s e n,no,_,_,_
m o n i s t e,m o n i s t e e n,no,_,_,_
k i l p a i l i j a,k i l p a i l i j a n,no,_,_,_
a u t o i l u,a u t o i l u n,no,_,_,_
f r a n c o l a i s u u s,f r a n c o l a i s u u d e n,no,_,_,_
l a i t t a m i n e n,l a i t t a m i s e n,no,_,_,_
p o h j o l a,p o h j o l a n,no,_,_,_
n ä y t t e l i j ä,n ä y t t e l i j ä n,no,_,_,_
k a i v a u s,k a i v a u k s e n,no,_,_,_
s ä ä t y,s ä ä d y n,yes,qualitative,t,direct
m i e h u u s,m i e h u u d e n,no,_,_,_
l u m m e,l u m p e e n,yes,qualitative,p,inverse
l e i k k i m i n e n,l e i k k i m i s e n,no,_,_,_
p ä ä t e,p ä ä t t e e n,yes,quantitative,t,inverse
l e t t i,l e t i n,yes,quantitative,t,direct
l a h j a k k u u s,l a h j a k k u u d e n,no,_,_,_
t e e s i,t e e s i n,no,_,_,_
k e r s a n t t i,k e r s a n t i n,yes,quantitative,t,direct
l a s k e u t u j a,l a s k e u t u j a n,no,_,_,_
m y l l y,m y l l y n,no,_,_,_
p a r i t u s,p a r i t u k s e n,no,_,_,_
m a i n e,m a i n e e n,no,_,_,_
k i m p p a,k i m p a n,yes,quantitative,p,direct
r ö y h k e y s,r ö y h k e y d e n,no,_,_,_
p ä i v i t y s,p ä i v i t y k s e n,no,_,_,_
k u m m i t u s,k u m m i t u k s e n,no,_,_,_
b r i t t i,b r i t i n,yes,quantitative,t,direct
l ä h i ö,l ä h i ö n,no,_,_,_
k a p a s i t e e t t i,k a p a s i t e e t i n,yes,quantitative,t,direct
a u t o n o m i a,a u t o n o m i a n,no,_,_,_
t e r r o r i s m i,t e r r o r i s m i n,no,_,_,_
p y y k k i,p y y k i n,yes,quantitative,k,direct
t u k i j a,t u k i j a n,no,_,_,_
m u k i l l i n e n,m u k i l l i s e n,no,_,_,_
v ä h ä i s y y s,v ä h ä i s y y d e n,no,_,_,_
k i r v e l y,k i r v e l y n,no,_,_,_
a a s i,a a s i n,no,_,_,_
k y l m y y s,k y l m y y d e n,no,_,_,_
a k t i v a a t i o,a k t i v a a t i o n,no,_,_,_
v a k u u s,v a k u u d e n,no,_,_,_
k e l p o i s u u s,k e l p o i s u u d e n,no,_,_,_
f r e e l a n c e r,f r e e l a n c e r i n,no,_,_,_
m e n e s t y m i n e n,m e n e s t y m i s e n,no,_,_,_
l a k k a u t t a m i n e n,l a k k a u t t a m i s e n,no,_,_,_
h a l u k k u u s,h a l u k k u u d e n,no,_,_,_
n u o r s u o m a l a i n e n,n u o r s u o m a l a i s e n,no,_,_,_
o s t a m i n e n,o s t a m i s e n,no,_,_,_
p e s t o,p e s t o n,no,_,_,_
k a n t a m u s,k a n t a m u k s e n,no,_,_,_
s ä ä t ä m i n e n,s ä ä t ä m i s e n,no,_,_,_
o m i t u i s u u s,o m i t u i s u u d e n,no,_,_,_
t e r m i n a a l i,t e r m i n a a l i n,no,_,_,_
p a k s u u s,p a k s u u d e n,no,_,_,_
h a k e m i s t o,h a k e m i s t o n,no,_,_,_
j ä ä n t i,j ä ä n n i n,yes,qualitative,t,direct
v u o k r a l a i n e n,v u o k r a l a i s e n,no,_,_,_
l e i p o m i n e n,l e i p o m i s e n,no,_,_,_
h a r r a s t e l i j a,h a r r a s t e l i j a n,no,_,_,_
s o p p a,s o p a n,yes,quantitative,p,direct
p i i p p u,p i i p u n,yes,quantitative,p,direct
k i i s t a,k i i s t a n,no,_,_,_
y h d i s t e l m ä,y h d i s t e l m ä n,no,_,_,_
p u s e r r u s,p u s e r r u k s e n,no,_,_,_
v ä i t t e l y,v ä i t t e l y n,no,_,_,_
p u k u,p u v u n,yes,qualitative,k,direct
k u l j e t t a j a,k u l j e t t a j a n,no,_,_,_
h a a v a,h a a v a n,no,_,_,_
h e r k k y y s,h e r k k y y d e n,no,_,_,_
s e l v y y s,s e l v y y d e n,no,_,_,_
k a t s o m i n e n,k a t s o m i s e n,no,_,_,_
v i r e,v i r e e n,no,_,_,_
p ä ä t t ä m i n e n,p ä ä t t ä m i s e n,no,_,_,_
p o h j o i n e n,p o h j o i s e n,no,_,_,_
s u p i s t e l u,s u p i s t e l u n,no,_,_,_
s o s i o l o g i,s o s i o l o g i n,no,_,_,_
m a r k i i s i,m a r k i i s i n,no,_,_,_
p o l y e s t e r i,p o l y e s t e r i n,no,_,_,_
p i z z a,p i z z a n,no,_,_,_
a j a m i n e n,a j a m i s e n,no,_,_,_
a e r o d y n a m i i k k a,a e r o d y n a m i i k a n,yes,quantitative,k,direct
r y h m ä,r y h m ä n,no,_,_,_
r u n o i l i j a,r u n o i l i j a n,no,_,_,_
k e l t a i n e n,k e l t a i s e n,no,_,_,_
y h t y e,y h t y e e n,no,_,_,_
p u b,p u b i n,no,_,_,_
n a u t i n t o,n a u t i n n o n,yes,qualitative,t,direct
s ä k k i,s ä k i n,yes,quantitative,k,direct
k o n s o r t i o,k o n s o r t i o n,no,_,_,_
k e r t o m i n e n,k e r t o m i s e n,no,_,_,_
v i i v a,v i i v a n,no,_,_,_
l a i v a s t o,l a i v a s t o n,no,_,_,_
t u t k a,t u t k a n,no,_,_,_
t a k a a j a,t a k a a j a n,no,_,_,_
y l i m y s,y l i m y k s e n,no,_,_,_
s i m u l a a t i o,s i m u l a a t i o n,no,_,_,_
v a s t a a v u u s,v a s t a a v u u d e n,no,_,_,_
v a u v a,v a u v a n,no,_,_,_
m a n d a a t t i,m a n d a a t i n,yes,quantitative,t,direct
r e p u b l i k a a n i,r e p u b l i k a a n i n,no,_,_,_
r i s u,r i s u n,no,_,_,_
v a p p u,v a p u n,yes,quantitative,p,direct
s ä ä,s ä ä n,no,_,_,_
l e m m i k k i,l e m m i k i n,yes,quantitative,k,direct
k a u p p i a s,k a u p p i a a n,no,_,_,_
s u r k e u s,s u r k e u d e n,no,_,_,_
g e o r g i a l a i n e n,g e o r g i a l a i s e n,no,_,_,_
s t a d i,s t a d i n,no,_,_,_
h u u h t e l u,h u u h t e l u n,no,_,_,_
u r h e i l u,u r h e i l u n,no,_,_,_
r a n n i k k o,r a n n i k o n,yes,quantitative,k,direct
k i i n n o s t a v u u s,k i i n n o s t a v u u d e n,no,_,_,_
d u m p p i,d u m p i n,yes,quantitative,p,direct
t y ö l ä i n e n,t y ö l ä i s e n,no,_,_,_
k y l ä,k y l ä n,no,_,_,_
l ä h e i s y y s,l ä h e i s y y d e n,no,_,_,_
h a r m i s t u s,h a r m i s t u k s e n,no,_,_,_
b a s s o,b a s s o n,no,_,_,_
v e s i s t ö,v e s i s t ö n,no,_,_,_
h a a p a,h a a v a n,yes,qualitative,p,direct
t o i s t u v u u s,t o i s t u v u u d e n,no,_,_,_
k u o r m u r i,k u o r m u r i n,no,_,_,_
p u u k k o,p u u k o n,yes,quantitative,k,direct
n e u v o t t o m u u s,n e u v o t t o m u u d e n,no,_,_,_
v a u h t i,v a u h d i n,yes,qualitative,t,direct
u z b e k k i,u z b e k i n,yes,quantitative,k,direct
k o l m i k k o,k o l m i k o n,yes,quantitative,k,direct
l a i s k u u s,l a i s k u u d e n,no,_,_,_
p a s s i,p a s s i n,no,_,_,_
l a a t i m i n e n,l a a t i m i s e n,no,_,_,_
a l l e k i r j o i t t a n u t,a l l e k i r j o i t t a n e e n,no,_,_,_
